Date,Open,High,Low,Close_Gold,Volume,SP500,Close_Oil,DollarIndex
1/4/2010,1117.7,1122.3,1097.1,1117.7,184,1132.99,81.51,77.83
1/5/2010,1118.1,1126.5,1115,1118.1,53,1136.52,81.77,77.85
1/6/2010,1135.9,1139.2,1120.7,1135.9,363,1137.14,83.18,77.65
1/7/2010,1133.1,1133.1,1129.2,1133.1,56,1141.69,82.66,78.11
1/8/2010,1138.2,1138.2,1122.7,1138.2,54,1144.98,82.75,77.65
1/11/2010,1150.7,1161.2,1143,1150.7,177,1146.98,82.52,77.16
1/12/2010,1128.9,1157.2,1127.2,1128.9,51,1136.22,80.79,77.12
1/13/2010,1136.4,1136.4,1121,1136.4,58,1145.68,79.65,76.99
1/14/2010,1137,1145.9,1132.8,1142.6,81,1148.46,79.39,76.89
1/15/2010,1132.8,1133.4,1127.2,1130.1,50,1136.03,78,77.48
1/19/2010,1139.7,1139.7,1130.5,1139.7,22,1150.23,79.02,77.65
1/20/2010,1123.3,1133,1109.8,1112.3,28,1138.04,77.62,78.5
1/21/2010,1102.7,1107.5,1090.2,1102.7,99,1116.48,76.08,78.51
1/22/2010,1089.2,1095.4,1083,1089.2,58,1091.76,74.54,78.43
1/25/2010,1095.2,1095.2,1095.2,1095.2,8,1096.78,75.26,78.35
1/26/2010,1097.9,1097.9,1097.9,1097.9,4,1092.17,74.71,78.61
1/27/2010,1084.4,1084.4,1084.4,1084.4,206694,1097.5,73.67,78.87
1/28/2010,1087.8,1095.7,1073.2,1083.6,101168,1084.53,73.64,79.1
1/29/2010,1085,1090.8,1074.5,1083,11456,1073.87,72.89,79.65
2/1/2010,1081,1107.3,1076.8,1104.3,2452,1089.19,74.43,79.42
2/2/2010,1117.4,1118.5,1100.2,1117.4,3326,1103.32,77.23,79.18
2/3/2010,1115.8,1124.9,1108.6,1111.4,853,1097.28,76.98,79.55
2/4/2010,1110,1110.7,1059,1062.4,1426,1063.11,73.14,80.07
2/5/2010,1052.2,1068.5,1045.2,1052.2,1956,1066.19,71.19,80.6
2/8/2010,1065.7,1073.4,1061.6,1065.7,549,1056.74,71.89,80.44
2/9/2010,1076.7,1082,1063.1,1076.7,387,1070.52,73.75,79.99
2/10/2010,1075.8,1081.1,1063.3,1075.8,640,1068.13,74.52,80.14
2/11/2010,1076.8,1097.1,1075.6,1094.2,1491,1078.47,75.28,80.1
2/12/2010,1089.5,1092,1079.8,1089.5,197,1075.51,74.13,80.41
2/16/2010,1119.3,1120.4,1092.4,1119.3,928,1094.87,77.01,79.75
2/17/2010,1119.5,1127,1108.5,1119.5,1083,1099.51,77.33,80.47
2/18/2010,1118,1123.7,1100.8,1118,989,1106.75,79.06,80.46
2/19/2010,1121.3,1126.2,1099.7,1121.3,137,1109.17,79.81,80.72
2/22/2010,1112.6,1127.4,1110,1112.6,124,1108.01,80.16,80.58
2/23/2010,1116.4,1118.3,1102.6,1102.7,152,1094.6,78.86,80.91
2/24/2010,1096.5,1096.5,1096.5,1096.5,751,1105.24,80,80.92
2/25/2010,1107.8,1108.2,1088.7,1107.8,386,1102.94,78.17,80.86
2/26/2010,1106.8,1118.3,1106.8,1118.3,382,1104.49,79.66,80.44
3/1/2010,1119.3,1121.9,1113.6,1117.8,184,1115.71,78.7,80.71
3/2/2010,1136.9,1137.4,1115.7,1136.9,155,1118.31,79.68,80.57
3/3/2010,1142.7,1145,1133.7,1142.7,170,1118.79,80.87,80.02
3/4/2010,1132.6,1139,1128.6,1132.6,118,1122.97,80.21,80.58
3/5/2010,1134.8,1134.8,1134.8,1134.8,129,1138.7,81.5,80.46
3/8/2010,1123.6,1123.6,1123.6,1123.6,17,1138.5,81.87,80.46
3/9/2010,1122,1124,1113.1,1122,27,1140.45,81.49,80.61
3/10/2010,1107.8,1127.1,1106.9,1107.8,21,1145.61,82.09,80.46
3/11/2010,1108,1108,1108,1108,46,1150.24,82.11,80.32
3/12/2010,1101.5,1117.4,1099.9,1101.5,135,1149.99,81.24,79.84
3/15/2010,1105.1,1107.1,1101.4,1105.1,21,1150.51,79.8,80.18
3/16/2010,1122.2,1127,1114.5,1122.2,66,1159.46,81.7,80
3/17/2010,1124,1131.4,1118,1124,29,1166.21,82.93,79.85
3/18/2010,1127.4,1127.8,1121.1,1127.4,86,1165.83,82.2,80.44
3/19/2010,1107.4,1107.4,1107.4,1107.4,54,1159.9,80.68,80.97
3/22/2010,1099.3,1099.3,1099.3,1099.3,71,1165.81,81.25,80.88
3/23/2010,1103.5,1103.5,1103.5,1103.5,16,1174.17,81.91,81.12
3/24/2010,1088.6,1092.4,1085.5,1088.6,9,1167.72,80.61,82.11
3/25/2010,1092.7,1092.7,1086.7,1092.7,8,1165.73,80.53,82.4
3/26/2010,1104.2,1104.2,1104.2,1104.2,5,1166.59,80,81.98
3/29/2010,1110.3,1110.3,1110.3,1110.3,158733,1173.22,82.17,81.62
3/30/2010,1109.7,1112.9,1101.1,1104.5,56533,1173.27,82.37,81.74
3/31/2010,1103.1,1118.7,1102,1113.3,5950,1169.43,83.76,81.29
4/1/2010,1125.1,1127.7,1111.3,1125.1,2696,1178.1,84.87,80.97
4/5/2010,1122.3,1133.3,1119.9,1132.9,567,1187.44,86.62,81.25
4/6/2010,1130.8,1138.5,1122.7,1135.1,2490,1189.44,86.84,81.57
4/7/2010,1152.3,1153,1132.6,1152.3,1342,1182.45,85.88,81.61
4/8/2010,1152.2,1152.3,1144,1152.2,254,1186.44,85.39,81.7
4/9/2010,1161.1,1164.8,1150.5,1161.1,505,1194.37,84.92,81.24
4/12/2010,1161.6,1169,1154.6,1161.6,483,1196.48,84.34,80.69
4/13/2010,1152.8,1157,1145,1152.8,278,1197.3,84.05,80.62
4/14/2010,1159,1160.6,1151.2,1159,162,1210.65,85.84,80.29
4/15/2010,1157.5,1159.8,1151,1159.7,179,1211.67,85.51,80.58
4/16/2010,1136.3,1160,1130.4,1136.3,483,1192.13,83.24,80.94
4/19/2010,1135.2,1137.1,1124,1135.2,145,1197.52,81.45,81.11
4/20/2010,1138.6,1145.8,1136,1138.6,80,1207.17,83.45,81.14
4/21/2010,1148.2,1150,1138.4,1148.2,68,1205.94,83.68,81.27
4/22/2010,1142.3,1144,1133.6,1142.3,213,1208.67,83.7,81.68
4/23/2010,1153.1,1153.1,1153.1,1153.1,40,1217.28,85.12,81.5
4/26/2010,1160.1,1160.1,1151.4,1153.5,108,1212.05,84.2,81.61
4/27/2010,1152.8,1170.7,1148.6,1161.7,213,1183.71,82.44,82.31
4/28/2010,1171.3,1171.3,1171.3,1171.3,299,1191.36,83.22,82.54
4/29/2010,1168.4,1171.2,1164,1168.4,166,1206.78,85.17,82.16
4/30/2010,1180.1,1181.3,1170,1180.1,146,1186.69,86.15,81.99
5/3/2010,1178.6,1187.5,1177.3,1182.7,90,1202.26,86.19,82.4
5/4/2010,1168.6,1191.8,1168.3,1168.6,94,1173.6,82.74,83.42
5/5/2010,1174.6,1177.2,1159.2,1174.6,98,1165.87,79.97,84.2
5/6/2010,1196.9,1210.6,1175.9,1196.9,79,1128.15,77.11,85.05
5/7/2010,1210,1210.8,1194.6,1210,112,1110.88,75.11,84.66
5/10/2010,1200.4,1203.8,1189.2,1200.4,118,1159.73,76.8,84.33
5/11/2010,1219.9,1233.5,1201.5,1219.9,201,1155.79,76.37,84.61
5/12/2010,1242.7,1246.5,1227.1,1242.7,213,1171.67,75.65,84.97
5/13/2010,1235.3,1240,1228.7,1228.8,37,1157.44,74.4,85.34
5/14/2010,1227.4,1227.4,1227.4,1227.4,99,1135.68,71.61,86.23
5/17/2010,1233.3,1235.9,1225.2,1227.7,49,1136.94,70.08,86.38
5/18/2010,1214.3,1216.1,1208.2,1214.3,73,1120.8,69.41,87.32
5/19/2010,1192.6,1192.6,1192.6,1192.6,75,1115.05,69.87,86.54
5/20/2010,1187.8,1191.8,1179.4,1187.8,297,1071.59,68.01,85.71
5/21/2010,1175.7,1175.7,1175.7,1175.7,177,1087.69,70.04,85.54
5/24/2010,1193.8,1193.8,1193.8,1193.8,14,1073.65,70.21,86.34
5/25/2010,1197.8,1200,1195.6,1197.8,9,1074.03,68.75,86.89
5/26/2010,1213.3,1213.3,1213.3,1213.3,237497,1067.95,71.51,87.24
5/27/2010,1211.7,1218.5,1205.4,1211.9,109434,1103.06,74.55,86.28
5/28/2010,1210.4,1214.8,1201.1,1212.2,12895,1089.41,73.97,86.58
6/1/2010,1224.8,1228.2,1209.3,1224.8,4547,1070.71,72.58,86.72
6/2/2010,1220.6,1225.8,1213.2,1220.6,2799,1098.38,72.86,86.88
6/3/2010,1208.3,1224,1201,1208.3,1552,1102.83,74.61,87.21
6/4/2010,1207.6,1220.4,1196.9,1216.2,1070,1064.88,71.51,88.32
6/7/2010,1239.3,1244.7,1211,1239.3,859,1050.47,71.44,88.46
6/8/2010,1241.5,1252.1,1234.1,1244,763,1062,71.99,88.47
6/9/2010,1237,1238.2,1222,1228.5,446,1055.69,74.38,87.93
6/10/2010,1232.8,1233.5,1215.1,1220.8,488,1086.84,75.48,87.17
6/11/2010,1228.9,1229.6,1218,1228.9,481,1091.6,73.78,87.52
6/14/2010,1223.2,1232.7,1217.7,1223.3,989,1089.63,75.12,86.5
6/15/2010,1222.6,1236,1222.4,1233.2,251,1115.23,76.94,86.29
6/16/2010,1229.3,1229.3,1229.3,1229.3,318,1114.61,77.67,86.39
6/17/2010,1233.9,1251.1,1233.9,1247.5,266,1116.04,76.79,85.98
6/18/2010,1247.7,1261.5,1242.9,1257.2,130,1117.51,77.18,85.98
6/21/2010,1257.4,1264.8,1232,1239.7,219,1113.2,77.82,86.24
6/22/2010,1239.9,1242.8,1232.1,1239.9,172,1095.31,77.21,86.41
6/23/2010,1233.9,1245.1,1226.9,1234.1,100,1092.04,76.35,86.05
6/24/2010,1236.4,1248.1,1230.7,1245.5,253,1073.69,76.51,86.02
6/25/2010,1246.7,1256.9,1243.7,1255.8,159,1076.76,78.86,85.58
6/28/2010,1238.2,1238.2,1238.2,1238.2,351,1074.57,78.25,85.92
6/29/2010,1242,1245,1228.5,1242,417,1041.24,75.94,86.34
6/30/2010,1245.5,1246.2,1236.7,1245.5,73,1030.71,75.63,86.28
7/1/2010,1206.3,1242.4,1204.5,1206.3,50,1027.37,72.95,84.98
7/2/2010,1201.4,1211.6,1200.8,1207.4,169,1022.58,72.14,84.67
7/6/2010,1207.3,1211.8,1190.5,1194.8,52,1028.06,71.98,84.31
7/7/2010,1198.6,1198.6,1198.6,1198.6,18,1060.27,74.07,84.04
7/8/2010,1195.8,1203.3,1189.3,1195.8,93,1070.25,75.44,84.04
7/9/2010,1209.6,1213,1195,1209.6,22,1077.96,76.09,84.15
7/12/2010,1198.5,1198.5,1198.5,1198.5,45,1078.75,74.95,84.41
7/13/2010,1213.3,1217.4,1205.2,1213.3,53,1095.34,77.15,83.82
7/14/2010,1212,1213.8,1202.4,1206.8,54,1095.17,77.04,83.6
7/15/2010,1208.1,1208.1,1208.1,1208.1,32,1096.48,76.62,82.74
7/16/2010,1188,1188,1188,1188,46,1064.88,76.01,82.66
7/19/2010,1181.7,1182.2,1180,1181.7,4,1071.25,76.54,82.71
7/20/2010,1191.5,1191.5,1191.5,1191.5,8,1083.48,77.44,82.93
7/21/2010,1191.6,1194.5,1184.1,1191.6,24,1069.59,76.56,83.59
7/22/2010,1195.5,1196,1194.4,1195.5,79,1093.67,79.3,82.78
7/23/2010,1187.7,1198.6,1187.7,1187.7,32,1102.66,78.98,82.63
7/26/2010,1183,1183,1183,1183,37,1115.01,78.98,82.24
7/27/2010,1158,1158,1158,1158,29,1113.84,77.5,82.33
7/28/2010,1160.4,1160.4,1160.4,1160.4,206828,1106.13,76.99,82.31
7/29/2010,1163.8,1169.2,1158.7,1168.4,54384,1101.53,78.36,81.75
7/30/2010,1168.2,1183.1,1166,1181.7,5466,1101.6,78.95,81.65
8/2/2010,1183.4,1191.8,1174.7,1183.4,2504,1125.86,81.34,81.06
8/3/2010,1185.2,1190.5,1180,1185.2,598,1120.46,82.55,80.68
8/4/2010,1186.3,1203,1186.3,1193.7,1068,1127.24,82.47,80.99
8/5/2010,1197.2,1199.3,1190,1197.2,214,1125.81,82.01,80.93
8/6/2010,1203.3,1211,1195.3,1203.4,347,1121.64,80.7,80.5
8/9/2010,1205.8,1209.5,1199.8,1200.7,658,1127.79,81.48,80.79
8/10/2010,1196.2,1206.5,1191,1196.2,713,1121.06,80.25,80.92
8/11/2010,1197.5,1208,1193,1197.5,351,1089.47,78.02,82.43
8/12/2010,1214.8,1215.5,1199,1214.8,289,1083.61,75.74,82.77
8/13/2010,1214.9,1214.9,1214.9,1214.9,138,1079.25,75.39,83.04
8/16/2010,1224.5,1225.4,1218,1224.5,252,1079.38,75.24,82.64
8/17/2010,1226.6,1227.4,1224,1226.6,84,1092.54,75.77,82.32
