 	mpg	cyl	disp	hp	drat	wt	qsec	vs	am	gear	carb
count	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0	32.0
min	10.4	4.0	71.1	52.0	2.76	1.513	14.5	0.0	0.0	3.0	1.0
max	33.9	8.0	472.0	335.0	4.93	5.424	22.9	1.0	1.0	5.0	8.0
median	19.2	6.0	196.3	123.0	3.6950000000000003	3.325	17.71	0.0	0.0	4.0	2.0
mode	10.4	8.0	275.8	110.0	3.07	3.44	17.02	0.0	0.0	3.0	2.0
Q1	15.425	4.0	120.825	96.5	3.08	2.58125	16.8925	0.0	0.0	3.0	2.0
Q2	19.2	6.0	196.3	123.0	3.6950000000000003	3.325	17.71	0.0	0.0	4.0	2.0
Q3	22.8	8.0	326.0	180.0	3.92	3.61	18.9	1.0	1.0	4.0	4.0
IQR	7.375	4.0	205.175	83.5	0.8399999999999999	1.02875	2.0075000000000003	1.0	1.0	1.0	2.0
Variance	36.32410282258064	3.189516129032258	15360.799828629033	4700.866935483871	0.2858813508064516	0.9573789677419354	3.193166129032258	0.2540322580645161	0.24899193548387097	0.5443548387096774	2.6088709677419355
stdev	6.026948052089104	1.7859216469465444	123.93869383138194	68.56286848932059	0.5346787360709715	0.9784574429896966	1.7869432360968431	0.5040161287741853	0.49899091723584604	0.7378040652569471	1.6151999776318522
