ID	LBI	RTI	WDI	FLA	PSF	FSF	ZDF1	PROZD
ar	1.02	16.5	2.6	1.21	42.4	24.2	47.1	69
arn	1.04	19.4	3.59	122	0	40	40	30
be	1.07	19.5	2.9	121	16	20.7	29.7	72
bi1	1.07	19.5	3.1	114	44	2.6	26.3	68
bi2	1.08	19.8	2.4	105	32.6	5.8	10.7	42
bie	1.08	21.8	2.78	126	14	0	50	78
bn	1.11	23.1	2.1	119	15.7	15.7	30.4	72
bo	1.11	23.3	3.5	116	16.8	23	35.2	69
by	1.11	23.3	2.9	113	15.8	15.8	15	57
c	1.11	23.6	2.57	121	22	2	18	63
cl	1.12	23.8	2.3	131	7.5	14.9	6	60
d	1.12	24.1	2.83	121	27.9	6.7	31.7	67
e1	1.14	24.3	3.6	113	5.3	21.1	60	86
e2	1.15	25.5	3.4	108	37.4	9.9	39.9	71
ey	1.16	26.3	2.3	120	13.5	6.9	38.3	72
fli	1.16	26.5	3.51	123	67.2	2.5	5.9	46
g10	1.16	26.5	2.9	116	5.3	55.3	63.2	84
g11	1.17	27	3	116	3.5	23.7	64.8	85
g2	1.17	27.2	3	116	6	39.7	50.2	78
g4	1.18	27.5	2.9	116	8	24	60	87
g5	1.19	27.6	2.8	118	7.5	37.7	43.9	78
g6	1.2	27.6	2.4	115	0	33.3	58.7	82
ga1	1.2	27.7	3.6	112	2.5	22.7	92.3	98
ga2	1.2	27.7	2.6	1.21	46.3	0	63.6	82
goe	1.21	27.9	4.15	117	0	28.5	61.9	92
gra	1.21	28.3	3.83	114	14	14	57	86
gro	1.21	29	3.36	125	45.5	9	18.2	55
gue	1.22	29.1	2.52	125	18.9	15.8	21.1	58
hey	1.22	29.3	2.5	124	10.7	25	25	74
hu	1.23	29.4	3.2	118	25.5	15.5	26.8	72
hx	1.23	29.4	3.2	118	16.3	6.7	28.9	69
ka	1.23	29.4	3.7	111	5.6	21.5	72.2	91
kb	1.24	29.5	3.8	116	1.2	32.5	83.3	94
kc	1.24	29.5	3.9	110	1.6	35.5	94.1	95
l	1.24	29.5	3.44	110	0	15	1.21	98
li	1.24	29.8	3.97	111	1.2	50	75.6	90
lue	1.25	29.9	2.28	126	2.1	18.6	34	77
m	1.26	30.2	3	121	1.21	1.21	25.1	61
mar	1.26	30.2	2.46	123	37.5	18.8	18.8	66
ml	1.27	31.5	3.1	120	28.6	12.7	15.9	62
mr	1.28	31.6	2.7	124	16.3	20.2	26.2	63
ms	1.29	32.6	3.6	128	35.7	0	14.3	36
n	1.3	33.4	3.12	117	15	19.6	19.6	65
nie	1.31	33.4	2.6	122	12.7	20.1	23.6	64
pb	1.31	33.6	4.9	108	20.6	6.9	61.8	84
r	1.31	34.2	4.1	117	6.9	22.5	63.7	85
r1	1.32	35.1	3.4	112	3.8	25.4	68.9	87
r3	1.33	35.3	3.7	115	5.8	13.9	80.6	92
reh	1.39	36	1.99	121	22.2	11.1	30.6	77
roe	1.41	43.7	2.41	121	31.7	20.2	24	62
								
MIN	1.02	16.5	1.99	1.21	0	0	1.21	30
MAX	1.41	43.7	4.9	131	67.2	55.3	94.1	98
MEAN	1.2026	27.998	3.0902	113.1684	16.7562	18.5682	41.0662	73.02
MEDIAN	1.21	28.1	3	117	14	18.7	34.6	72
MODE	1.11	29.4	2.9	121	0	0	60	72
Q1	1.1425							
Q2	1.21							
Q3	1.26							
IQR	0.1175							
PHS	0.007668612							
?LC								
