OBS,SEPAL LENGTH,SEPAL WIDTH,PETAL LENGTH,PETAL WIDTH,SPECIES
Obs1,50,33,14,2,Setosa
Obs2,64,28,56,22,Virginica
Obs3,65,28,46,15,Versicolor
Obs4,67,31,56,24,Virginica
Obs5,63,28,51,15,Virginica
Obs6,46,34,14,3,Setosa
Obs7,69,31,51,23,Virginica
Obs8,62,22,45,15,Versicolor
Obs9,59,32,48,18,Versicolor
Obs10,46,36,10,2,Setosa
Obs11,61,30,46,14,Versicolor
Obs12,60,27,51,16,Versicolor
Obs13,65,30,52,20,Virginica
Obs14,56,25,39,11,Versicolor
Obs15,65,30,55,18,Virginica
Obs16,58,27,51,19,Virginica
Obs17,68,32,59,23,Virginica
Obs18,51,33,17,5,Setosa
Obs19,57,28,45,13,Versicolor
Obs20,62,34,54,23,Virginica
Obs21,77,38,67,22,Virginica
Obs22,63,33,47,16,Versicolor
Obs23,67,33,57,25,Virginica
Obs24,76,30,66,21,Virginica
Obs25,49,25,45,17,Virginica
Obs26,55,35,13,2,Setosa
Obs27,67,30,52,23,Virginica
Obs28,70,32,47,14,Versicolor
Obs29,64,32,45,15,Versicolor
Obs30,61,28,40,13,Versicolor
Obs31,48,31,16,2,Setosa
Obs32,59,30,51,18,Virginica
Obs33,55,24,38,11,Versicolor
Obs34,63,25,50,19,Virginica
Obs35,64,32,53,23,Virginica
Obs36,52,34,14,2,Setosa
Obs37,49,36,14,1,Setosa
Obs38,54,30,45,15,Versicolor
Obs39,79,38,64,20,Virginica
Obs40,44,32,13,2,Setosa
Obs41,67,33,57,21,Virginica
Obs42,50,35,16,6,Setosa
Obs43,58,26,40,12,Versicolor
Obs44,44,30,13,2,Setosa
Obs45,77,28,67,20,Virginica
Obs46,63,27,49,18,Virginica
Obs47,47,32,16,2,Setosa
Obs48,55,26,44,12,Versicolor
Obs49,50,23,33,10,Versicolor
Obs50,72,32,60,18,Virginica
Obs51,48,30,14,3,Setosa
Obs52,51,38,16,2,Setosa
Obs53,61,30,49,18,Virginica
Obs54,48,34,19,2,Setosa
Obs55,50,30,16,2,Setosa
Obs56,50,32,12,2,Setosa
Obs57,61,26,56,14,Virginica
Obs58,64,28,56,21,Virginica
Obs59,43,30,11,1,Setosa
Obs60,58,40,12,2,Setosa
Obs61,51,38,19,4,Setosa
Obs62,67,31,44,14,Versicolor
Obs63,62,28,48,18,Virginica
Obs64,49,30,14,2,Setosa
Obs65,51,35,14,2,Setosa
Obs66,56,30,45,15,Versicolor
Obs67,58,27,41,10,Versicolor
Obs68,50,34,16,4,Setosa
Obs69,46,32,14,2,Setosa
Obs70,60,29,45,15,Versicolor
Obs71,57,26,35,10,Versicolor
Obs72,57,44,15,4,Setosa
Obs73,50,36,14,2,Setosa
Obs74,77,30,61,23,Virginica
Obs75,63,34,56,24,Virginica
Obs76,58,27,51,19,Virginica
Obs77,57,29,42,13,Versicolor
Obs78,72,30,58,16,Virginica
Obs79,54,34,15,4,Setosa
Obs80,52,41,15,1,Setosa
Obs81,71,30,59,21,Virginica
Obs82,64,31,55,18,Virginica
Obs83,60,30,48,18,Virginica
Obs84,63,29,56,18,Virginica
Obs85,49,24,33,10,Versicolor
Obs86,56,27,42,13,Versicolor
Obs87,57,30,42,12,Versicolor
Obs88,55,42,14,2,Setosa
Obs89,49,31,15,2,Setosa
Obs90,77,26,69,23,Virginica
Obs91,60,22,50,15,Virginica
Obs92,54,39,17,4,Setosa
Obs93,66,29,46,13,Versicolor
Obs94,52,27,39,14,Versicolor
Obs95,60,34,45,16,Versicolor
Obs96,50,34,15,2,Setosa
Obs97,44,29,14,2,Setosa
Obs98,50,20,35,10,Versicolor
Obs99,55,24,37,10,Versicolor
Obs100,58,27,39,12,Versicolor
Obs101,47,32,13,2,Setosa
Obs102,46,31,15,2,Setosa
Obs103,69,32,57,23,Virginica
Obs104,62,29,43,13,Versicolor
Obs105,74,28,61,19,Virginica
Obs106,59,30,42,15,Versicolor
Obs107,51,34,15,2,Setosa
Obs108,50,35,13,3,Setosa
Obs109,56,28,49,20,Virginica
Obs110,60,22,40,10,Versicolor
Obs111,73,29,63,18,Virginica
Obs112,67,25,58,18,Virginica
Obs113,49,31,15,1,Setosa
Obs114,67,31,47,15,Versicolor
Obs115,63,23,44,13,Versicolor
Obs116,54,37,15,2,Setosa
Obs117,56,30,41,13,Versicolor
Obs118,63,25,49,15,Versicolor
Obs119,61,28,47,12,Versicolor
Obs120,64,29,43,13,Versicolor
Obs121,51,25,30,11,Versicolor
Obs122,57,28,41,13,Versicolor
Obs123,65,30,58,22,Virginica
Obs124,69,31,54,21,Virginica
Obs125,54,39,13,4,Setosa
Obs126,51,35,14,3,Setosa
Obs127,72,36,61,25,Virginica
Obs128,65,32,51,20,Virginica
Obs129,61,29,47,14,Versicolor
Obs130,56,29,36,13,Versicolor
Obs131,69,31,49,15,Versicolor
Obs132,64,27,53,19,Virginica
Obs133,68,30,55,21,Virginica
Obs134,55,25,40,13,Versicolor
Obs135,48,34,16,2,Setosa
Obs136,48,30,14,1,Setosa
Obs137,45,23,13,3,Setosa
Obs138,57,25,50,20,Virginica
Obs139,57,38,17,3,Setosa
Obs140,51,38,15,3,Setosa
Obs141,55,23,40,13,Versicolor
Obs142,66,30,44,14,Versicolor
Obs143,68,28,48,14,Versicolor
Obs144,54,34,17,2,Setosa
Obs145,51,37,15,4,Setosa
Obs146,52,35,15,2,Setosa
Obs147,58,28,51,24,Virginica
Obs148,67,30,50,17,Versicolor
Obs149,63,33,60,25,Virginica
Obs150,53,37,15,2,Setosa
